#{"t_start": 1743722901.112252, "env_id": "None"}
r,l,t
36.094615,47,128.758225
29.77856,47,128.982252
30.804836,47,128.999116
44.857446,47,129.216819
43.636054,47,129.233881
39.878173,47,129.455413
41.515927,47,129.476488
39.45267,47,129.695878
40.804151,47,129.714931
46.050141,47,129.935102
45.854363,47,129.952149
20.821713,47,130.165237
23.03748,47,130.183549
23.681253,47,130.400139
22.56633,47,130.418388
37.317952,47,130.634871
35.8009,47,130.653819
28.475526,47,130.8689
27.905584,47,130.887206
23.416643,47,131.104698
25.688842,47,131.126392
24.648342,47,131.340677
22.091081,47,131.358605
40.553546,47,131.569115
39.908863,47,131.587171
33.853002,47,131.800397
32.194578,47,131.818789
38.509939,47,132.03529
40.221432,47,132.052352
41.112439,47,132.269594
42.250048,47,132.287211
35.202575,47,132.499614
34.292429,47,132.516583
36.138109,47,132.72944
37.306521,47,132.749905
22.970201,47,132.964105
21.422642,47,132.982262
37.625657,47,133.20521
36.097342,47,133.22211
40.239978,47,133.43425
38.040036,47,133.451581
44.833475,47,133.673976
42.413539,47,133.690925
44.795928,47,133.905357
44.087419,47,133.923676
40.062105,47,134.142044
38.518141,47,134.158887
37.635237,47,134.386514
40.377912,47,134.403863
38.205835,47,134.612399
40.204659,47,134.629284
27.271621,47,134.850181
27.702016,47,134.868184
41.904854,47,135.083346
41.279845,47,135.103853
44.306617,47,135.324047
44.319679,47,135.340766
43.547788,47,135.556173
43.292788,47,135.573194
30.701549,47,135.827545
28.325321,47,135.844689
46.03936,47,136.098878
44.20197,47,136.119821
44.700244,47,136.330965
43.644166,47,136.349124
45.31618,47,136.559182
43.744322,47,136.576406
34.370946,47,136.794577
35.596598,47,136.81178
45.80348,47,137.026247
45.298916,47,137.047315
45.053094,47,137.260652
42.731154,47,137.277785
42.512421,47,137.488709
43.423447,47,137.505723
41.388849,47,137.726759
41.296632,47,137.746034
45.927536,47,137.961988
45.866938,47,137.979142
44.897134,47,138.194922
45.288619,47,138.212176
45.973926,47,138.421486
45.150396,47,138.439078
45.178944,47,138.654643
43.973518,47,138.676389
45.048199,47,138.899054
44.277201,47,138.916895
40.460816,47,139.131145
42.204538,47,139.148082
45.855374,47,139.359076
45.973525,47,139.376116
41.756647,47,139.58595
42.047281,47,139.606848
45.779753,47,139.819001
45.630497,47,139.836135
42.157806,47,140.052863
42.821811,47,140.07109
45.924699,47,140.28958
45.931866,47,140.306685
46.046347,47,140.517038
45.900676,47,140.534154
43.073675,47,140.748234
43.492964,47,140.766099
45.727944,47,140.980797
45.697379,47,140.9984
45.985185,47,141.217515
45.900313,47,141.23857
44.160787,47,141.449937
43.868142,47,141.466854
43.33323,47,141.677624
43.693593,47,141.69484
45.432289,47,141.904908
45.263966,47,141.921871
44.071972,47,142.134177
44.5554,47,142.154128
43.313083,47,142.364042
42.82644,47,142.382008
44.808525,47,142.590425
44.481974,47,142.608442
45.207304,47,142.819827
45.192026,47,142.836928
44.629212,47,143.047919
44.257752,47,143.065479
45.58419,47,143.274547
45.736414,47,143.295004
44.592852,47,143.504396
45.153811,47,143.521307
45.684709,47,143.734203
45.6507,47,143.751217
44.946779,47,143.962435
44.65926,47,143.980331
45.583972,47,144.194134
45.376058,47,144.214064
45.375952,47,144.43535
44.841172,47,144.452679
45.470345,47,144.664008
45.684245,47,144.681408
45.645091,47,144.890008
45.255374,47,144.907316
44.78762,47,145.127561
44.46394,47,145.146394
44.900124,47,145.368768
44.943974,47,145.387418
45.816238,47,145.615641
45.762684,47,145.637447
46.033345,47,145.847819
46.051619,47,145.865591
45.597513,47,146.086477
45.552937,47,146.106395
44.60538,47,146.333677
44.726935,47,146.354649
45.161271,47,146.571881
44.792671,47,146.588665
45.976641,47,146.820285
46.001626,47,146.837736
45.951866,47,147.073139
45.894095,47,147.090034
45.472727,47,147.301072
45.776982,47,147.317979
44.435295,47,147.52465
44.439692,47,147.541662
44.97794,47,147.750709
45.121582,47,147.767305
45.679099,47,147.973928
45.550859,47,147.99375
45.716381,47,148.205261
46.01542,47,148.222208
45.405557,47,148.427855
45.523171,47,148.444605
45.732997,47,148.652525
45.960462,47,148.669585
44.355098,47,148.8755
44.786175,47,148.892297
46.005655,47,149.099812
46.034753,47,149.119541
44.851115,47,149.330756
44.811938,47,149.347404
45.8261,47,149.5641
45.864673,47,149.581433
46.002888,47,149.799616
46.001634,47,149.816202
45.911804,47,150.030713
45.839434,47,150.047424
45.920398,47,150.26686
45.973772,47,150.284286
44.727942,47,150.499263
45.001859,47,150.515973
45.780733,47,150.729431
45.75093,47,150.751071
45.7588,47,150.961125
45.817257,47,150.978626
45.083549,47,151.202248
45.3887,47,151.221981
45.847818,47,151.43814
45.758492,47,151.45784
45.294956,47,151.674498
45.525565,47,151.691551
43.615725,47,151.90117
43.645567,47,151.918604
45.720525,47,152.131811
45.760165,47,152.15108
45.185544,47,152.374004
45.47884,47,152.394812
45.524047,47,152.606916
45.53616,47,152.62495
45.579062,47,152.835932
45.660389,47,152.854627
45.610618,47,153.06549
45.645179,47,153.083079
44.963552,47,153.311146
44.528514,47,153.328611
45.64155,47,153.535476
45.610362,47,153.552181
45.816793,47,153.766248
45.844125,47,153.783598
45.635543,47,153.992694
45.593411,47,154.013203
45.503609,47,154.226058
45.473768,47,154.243026
45.21614,47,154.454067
45.329956,47,154.470725
45.237843,47,154.681853
45.296474,47,154.69852
45.526687,47,154.91489
45.673866,47,154.934827
44.580008,47,155.14979
44.81393,47,155.166416
44.651963,47,155.373517
44.994647,47,155.390247
45.387005,47,155.598299
45.407151,47,155.6158
45.331958,47,155.831739
45.395074,47,155.849055
44.182381,47,156.059587
44.317526,47,156.076668
44.692391,47,156.290876
44.852018,47,156.308312
45.556563,47,156.51507
45.584118,47,156.532577
45.475596,47,156.751041
45.46853,47,156.769218
45.326731,47,156.988175
45.429909,47,157.005415
45.059967,47,157.226863
44.871563,47,157.243683
43.227398,47,157.460523
43.446781,47,157.477256
45.280436,47,157.736636
45.340274,47,157.753523
45.539841,47,158.016368
45.469759,47,158.034585
45.660177,47,158.29366
45.578512,47,158.31292
45.385272,47,158.543853
45.359187,47,158.562008
45.466388,47,158.816585
45.52955,47,158.837416
45.676866,47,159.057978
45.695878,47,159.076838
45.152006,47,159.29381
45.203728,47,159.310929
45.42063,47,159.528961
45.470844,47,159.549184
44.558961,47,159.773466
44.943302,47,159.790296
45.473449,47,159.998549
45.462052,47,160.016039
45.426745,47,160.228813
45.375505,47,160.246298
45.418966,47,160.47031
45.311257,47,160.487408
44.010858,47,160.712084
44.161265,47,160.729738
41.165861,47,160.94743
41.969129,47,160.965039
44.350572,47,161.182496
44.301606,47,161.199399
45.002089,47,161.409946
44.782451,47,161.427223
45.03008,47,161.6438
44.905726,47,161.661326
44.978186,47,161.880266
45.135673,47,161.900527
44.97353,47,162.118623
45.175011,47,162.136288
44.857898,47,162.350211
44.77928,47,162.366909
45.398799,47,162.573427
45.248279,47,162.59067
44.1445,47,162.803296
43.701027,47,162.823782
45.152673,47,163.031543
45.081167,47,163.0488
42.774786,47,163.258589
42.705454,47,163.275425
42.384882,47,163.48364
41.4324,47,163.500535
34.672768,47,163.712508
33.426689,47,163.732747
39.828782,47,163.94096
39.189711,47,163.957866
45.087065,47,164.169937
45.075517,47,164.188148
44.4126,47,164.40194
44.121313,47,164.420207
43.192337,47,164.632457
43.373518,47,164.652907
44.263195,47,164.863921
44.355469,47,164.883319
43.041306,47,165.095366
43.404247,47,165.112185
40.514934,47,165.322426
39.55177,47,165.339272
43.54762,47,165.547885
43.939226,47,165.565089
42.625166,47,165.777854
42.966901,47,165.797257
42.000157,47,166.006766
41.887146,47,166.023527
43.667053,47,166.236369
43.707155,47,166.254365
34.869147,47,166.473781
38.119772,47,166.493596
38.370208,47,166.709959
39.670098,47,166.72794
28.864164,47,166.943794
28.884955,47,166.960831
33.49734,47,167.174296
31.902965,47,167.191932
31.200886,47,167.403083
30.894293,47,167.423339
19.442098,47,167.636703
18.886331,47,167.65492
27.268637,47,167.872476
27.807821,47,167.89116
26.652507,47,168.100008
26.568038,47,168.117544
20.657035,47,168.358628
21.32167,47,168.376434
41.64236,47,168.60447
42.002021,47,168.622139
29.155435,47,168.855447
28.995216,47,168.872262
22.34679,47,169.107702
21.1721,47,169.125312
38.131082,47,169.340985
34.100229,47,169.362711
43.722543,47,169.577337
43.527978,47,169.594811
24.967792,47,169.808425
24.550088,47,169.825526
45.690461,47,170.03477
45.564042,47,170.052078
42.244628,47,170.266307
43.240626,47,170.286289
38.608231,47,170.494807
39.439037,47,170.512506
24.633236,47,170.721557
24.421215,47,170.739826
45.450876,47,170.953048
45.46906,47,170.970578
13.616862,47,171.179809
13.505265,47,171.199766
26.887477,47,171.408259
28.061182,47,171.425652
