#{"t_start": 1743796924.0442216, "env_id": "None"}
r,l,t
45.902243,47,115.01711
45.916737,47,115.042897
46.015122,47,115.451411
46.010499,47,115.477944
45.815562,47,115.907918
45.833264,47,115.938435
45.73569,47,116.355303
45.723562,47,116.381658
45.095288,47,116.805782
45.178582,47,116.83677
45.542647,47,117.283116
45.507361,47,117.310098
45.164006,47,117.730546
45.166507,47,117.764564
45.809856,47,118.195152
45.799732,47,118.221852
45.578351,47,118.633971
45.63377,47,118.659843
45.778846,47,119.09338
45.809568,47,119.124066
45.92113,47,119.555454
45.931376,47,119.58287
44.931654,47,120.057392
44.828667,47,120.084698
45.921824,47,120.52001
45.904073,47,120.549328
46.001205,47,120.996403
45.99288,47,121.022936
45.82803,47,121.466038
45.837163,47,121.49697
45.845922,47,121.963769
45.839954,47,121.989863
45.996761,47,122.41346
45.994014,47,122.44289
44.397186,47,122.856095
44.386303,47,122.886508
43.787307,47,123.300653
43.754949,47,123.326937
45.900287,47,123.738874
45.889914,47,123.769206
45.767579,47,124.175649
45.765714,47,124.205932
45.801798,47,124.615775
45.796567,47,124.642193
45.39058,47,125.050725
45.470554,47,125.077914
45.556673,47,125.486027
45.587776,47,125.512302
44.076205,47,125.927704
44.121383,47,125.958016
45.995287,47,126.367309
45.983878,47,126.393934
42.649098,47,126.842156
42.585479,47,126.868937
46.003342,47,127.281271
45.998123,47,127.311313
45.904176,47,127.727905
45.932621,47,127.757033
45.845144,47,128.181753
45.85131,47,128.20794
45.510356,47,128.64841
45.56492,47,128.675301
45.282812,47,129.089591
45.310613,47,129.116083
45.712448,47,129.526929
45.707381,47,129.554895
45.241635,47,129.995356
45.221472,47,130.021888
45.51654,47,130.43179
45.557119,47,130.458398
45.566073,47,130.869159
45.594308,47,130.895526
44.945194,47,131.316775
45.017486,47,131.348607
44.911158,47,131.768366
44.892421,47,131.794891
44.23555,47,132.207629
44.27117,47,132.234383
43.309366,47,132.67863
43.291982,47,132.708391
43.698099,47,133.182528
43.712023,47,133.213895
44.518983,47,133.683885
44.48156,47,133.714039
44.243216,47,134.180281
44.271516,47,134.208716
45.007479,47,134.681178
44.946791,47,134.707977
45.13126,47,135.181115
45.152755,47,135.208368
45.10644,47,135.679911
45.095585,47,135.707218
45.87819,47,136.176802
45.913742,47,136.206808
45.358742,47,136.662729
45.361414,47,136.689624
46.06208,47,137.113976
46.066628,47,137.144031
45.01343,47,137.587601
45.058411,47,137.613563
45.798726,47,138.021034
45.884447,47,138.047384
45.319009,47,138.452081
45.361619,47,138.481783
45.257859,47,138.890516
45.324859,47,138.916933
42.474,47,139.324657
42.268365,47,139.351171
45.203306,47,139.760011
45.266624,47,139.787339
44.404969,47,140.214333
44.486069,47,140.249563
43.341261,47,140.696806
43.357323,47,140.723738
42.937552,47,141.134277
42.912288,47,141.164552
43.815251,47,141.571423
43.813647,47,141.597481
45.603685,47,142.010338
45.600194,47,142.037154
44.626417,47,142.453001
44.656275,47,142.479492
44.120616,47,142.896278
44.030884,47,142.926691
45.040124,47,143.33813
45.097542,47,143.36443
45.586754,47,143.802209
45.616592,47,143.830738
44.7091,47,144.275577
44.722092,47,144.301832
45.712734,47,144.739347
45.694649,47,144.76519
45.957477,47,145.225024
45.927558,47,145.251465
44.531093,47,145.687934
44.484577,47,145.723451
44.029229,47,146.134501
44.06655,47,146.160884
45.601627,47,146.570569
45.610114,47,146.596912
44.710185,47,147.054685
44.687954,47,147.085728
45.605256,47,147.582847
45.602098,47,147.609466
44.188091,47,148.061997
44.115649,47,148.088497
45.007622,47,148.527186
45.009642,47,148.554057
45.533614,47,148.961174
45.524259,47,148.987564
45.410732,47,149.395763
45.413412,47,149.422184
45.010865,47,149.838567
44.919891,47,149.868693
44.932724,47,150.315193
44.935819,47,150.345759
43.89519,47,150.764324
43.91488,47,150.794893
44.943196,47,151.202311
44.985641,47,151.228252
45.057588,47,151.645093
44.980273,47,151.671702
45.431222,47,152.077586
45.386913,47,152.104746
45.759372,47,152.510665
45.755935,47,152.537169
46.057696,47,152.943318
46.052562,47,152.97299
45.624775,47,153.380545
45.641482,47,153.406456
45.282643,47,153.835992
45.242653,47,153.862481
45.668472,47,154.267084
45.705954,47,154.293267
43.925874,47,154.761463
43.921332,47,154.79178
45.71944,47,155.204337
45.704506,47,155.230827
45.812996,47,155.642963
45.812646,47,155.67306
